Product Class,Model Number,Annual Energy Use (kWh/yr),Adjusted Volume (ft3),Compact,energy_per_volume,code,adj_volume,annual_energy_use,regexed_model_no
5A - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with through-the-door ice service,TRF3601FD,658,26.7,No,24.644194756554306,5A,26.7,658.0,TRF3601FD
5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,TRF3602,588,27.5,No,21.381818181818183,5I,27.5,588.0,TRF3602
5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,FD225BSS,588,27.5,No,21.381818181818183,5I,27.5,588.0,FD225BSS
5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,FD225SS,588,27.5,No,21.381818181818183,5I,27.5,588.0,FD225SS
13A - Compact All-Refrigerators - automatic defrost,TUR-24-R-SS-C,279,5.6,Yes,49.82142857142858,13A,5.6,279.0,TUR-24-R-SS-C
13A - Compact All-Refrigerators - automatic defrost,TUR-15-R-SS-B,259,3.1,Yes,83.54838709677419,13A,3.1,259.0,TUR-15-R-SS-B
13A - Compact All-Refrigerators - automatic defrost,TUR-24-D-SS-B,278,5.4,Yes,51.48148148148148,13A,5.4,278.0,TUR-24-D-SS-B
13A - Compact All-Refrigerators - automatic defrost,TUR-24-R-SS-B,280,5.6,Yes,50.0,13A,5.6,280.0,TUR-24-R-SS-B
3A - All-Refrigerators - automatic defrost,TR-30REF-*-**-*,307,19.7,No,15.583756345177665,3A,19.7,307.0,TR-30REF-.-..-.
5A - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with through-the-door ice service,WRFS26D***,698,31.4,No,22.229299363057326,5A,31.4,698.0,WRFS26D...
5A - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with through-the-door ice service,WRFS26S***,698,31.4,No,22.229299363057326,5A,31.4,698.0,WRFS26S...
3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,WT*18*****,365,22.1,No,16.515837104072396,3,22.1,365.0,WT.18.....
3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,WT*21*****,393,25.2,No,15.595238095238095,3,25.2,393.0,WT.21.....
