Product Class,Model Number,Annual Energy Use (kWh/yr),Adjusted Volume (ft3),Compact,energy_per_volume,code,adj_volume,annual_energy_use,regexed_model_no
11A - Compact All-Refrigerator - manual defrost,1AW1BF44A,226,4.2,Yes,53.80952380952381,11A,4.2,226.0,1AW1BF44A
12 - Compact Refrigerator-Freezer - partial automatic defrost,1AW2BF33A,322,3.9,Yes,82.56410256410257,12,3.9,322.0,1AW2BF33A
13A - Compact All-Refrigerators - automatic defrost,OR525U5D,265,4.7,Yes,56.38297872340425,13A,4.7,265.0,OR525U5D
13A - Compact All-Refrigerators - automatic defrost,OR543U3S,235,5.3,Yes,44.339622641509436,13A,5.3,235.0,OR543U3S
12 - Compact Refrigerator-Freezer - partial automatic defrost,RA31B0W,320,3.8,Yes,84.21052631578948,12,3.8,320.0,RA31B0W
12 - Compact Refrigerator-Freezer - partial automatic defrost,RA31B1B,320,3.8,Yes,84.21052631578948,12,3.8,320.0,RA31B1B
12 - Compact Refrigerator-Freezer - partial automatic defrost,RA31B3S,320,3.8,Yes,84.21052631578948,12,3.8,320.0,RA31B3S
12 - Compact Refrigerator-Freezer - partial automatic defrost,RA32J0W,312,3.9,Yes,80.0,12,3.9,312.0,RA32J0W
12 - Compact Refrigerator-Freezer - partial automatic defrost,RA32J1B,312,3.9,Yes,80.0,12,3.9,312.0,RA32J1B
12 - Compact Refrigerator-Freezer - partial automatic defrost,RA32J3S,312,3.9,Yes,80.0,12,3.9,312.0,RA32J3S
12 - Compact Refrigerator-Freezer - partial automatic defrost,RA45B3S,327,5.4,Yes,60.55555555555555,12,5.4,327.0,RA45B3S
12 - Compact Refrigerator-Freezer - partial automatic defrost,RA7306WT,345,8.4,Yes,41.07142857142857,12,8.4,345.0,RA7306WT
