Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Cooling_Capacity__BTU_Hour__d,Electrical_Power_Input__Watts__d,Combined_Energy_Efficiency_Ratio_d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s
Midea,"(11) With reverse cycle, with louvered sides, and less than 20,000 Btu/h",MWCUPWHP-09HEFN8-BCL1,MWCUPWHP-09HEFN8-BCL1,9000.0,760.0,16.0,No,No,By annual report date
Genie Aire,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",GA23-12ERN1-MCI5,GA23-12ERN1-MCI5,12000.0,1180.0,9.5,No,No,By annual report date
Genie Aire,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",GA23-08CRN1-115,GA23-08CRN1-115,8300.0,760.0,10.6,No,No,By annual report date
Genie Aire,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",GA23-12CRN2-230,GA23-12CRN2-230,12000.0,1120.0,10.5,No,No,By annual report date
LG,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",LW8024RD,LW8024RD,8000.0,710.0,11.4,No,No,http://www.lg.com/global/support/ftclabel
LG,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",LW8023RSMY,LW8023RSMY,8000.0,710.0,11.4,No,No,http://www.lg.com/global/support/ftclabel
LG,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",LW1023RSM,LW1023RSM,10000.0,870.0,11.4,No,No,http://www.lg.com/global/support/ftclabel
LG,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",LW1224RD,LW1224RD,12000.0,1030.0,11.4,No,No,http://www.lg.com/global/support/ftclabel
LG,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",LW1223RSM,LW1223RSM,12000.0,1030.0,11.4,No,No,http://www.lg.com/global/support/ftclabel
LG,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",LW1424RD,LW1424RD,14000.0,1250.0,11.2,No,No,http://www.lg.com/global/support/ftclabel
LG,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",LW1423RSM,LW1423RSM,14000.0,1250.0,11.2,No,No,http://www.lg.com/global/support/ftclabel
LG,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",LW1824RD,LW1824RD,18000.0,1580.0,11.8,No,No,http://www.lg.com/global/support/ftclabel
LG,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",LW1823RSMY,LW1823RSMY,18000.0,1580.0,11.8,No,No,http://www.lg.com/global/support/ftclabel
LG,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",LW2524RD,LW2524RD,24500.0,2370.0,10.3,No,No,http://www.lg.com/global/support/ftclabel
LG,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",LW2522RSMY,LW2522RSMY,24500.0,2370.0,10.3,No,No,http://www.lg.com/global/support/ftclabel
LG,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",LT08124CNR,LT08124CNR,8000.0,750.0,10.6,No,No,http://www.lg.com/global/support/ftclabel
LG,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",LT10124CNR,LT10124CNR,9800.0,920.0,10.6,No,No,http://www.lg.com/global/support/ftclabel
LG,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",LT12324CNR,LT12324CNR,11800.0,1160.0,10.5,No,No,http://www.lg.com/global/support/ftclabel
LG,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",LT1033HNR,LT1033HNR,10000.0,930.0,10.7,No,No,http://www.lg.com/global/support/ftclabel
PRO SOURCE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",12722104,12722104,8000.0,650.0,12.0,No,No,By annual report date
PRO SOURCE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",12722054,12722054,12000.0,1000.0,12.0,No,No,By annual report date
Element,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",EWR25BE,EWR25BE,25000.0,2410.0,10.3,No,No,https://elementelectronics.com/energy-guides
Element,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",EWR18BE,EWR18BE,18000.0,1510.0,11.8,No,No,https://elementelectronics.com/energy-guides
Element,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",EWR12BE,EWR12BE,12000.0,990.0,12.0,No,No,https://elementelectronics.com/energy-guides
Element,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",EWR08BE,EWR08BE,8000.0,650.0,12.0,No,No,https://elementelectronics.com/energy-guides
Element,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",EWR06BE,EWR06BE,6000.0,490.0,12.1,No,No,https://elementelectronics.com/energy-guides
Impecca,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",IWA05-KM15,IWA05-KM15,5000.0,450.0,11.0,No,No,https://impecca.box.com/s/qbvrmd84hptwqtd2c4ncje2qxor9aaa6
Impecca,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",ITAC10-KSB21,ITAC10-KSB21,10000.0,940.0,10.6,No,No,https://impecca.boxcn.net/s/j7xvdx60pmgqu1gs6qggq6fmf083is5m
Impecca,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",ITAC10-KSA21,ITAC10-KSA21,10000.0,940.0,10.6,No,No,https://impecca.boxcn.net/s/51s6beodsa4if5372z1grj1ofm8xtaiw
Impecca,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",ITAC12-KSB21,ITAC12-KSB21,12000.0,1140.0,10.5,No,No,https://impecca.boxcn.net/s/sys1pwb9mkne1wf5poc82hrenj2mxcyd
Impecca,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",IWA08-KR15,IWA08-KR15,8000.0,710.0,10.9,No,No,https://impecca.box.com/s/f31wml3gcusqlu1meeb7ubw4au51e00r
Impecca,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",IWA10-KR15,IWA10-KR15,10000.0,900.0,10.9,No,No,https://impecca.box.com/s/x407p2u3kbw1od0z8vyhrtghlamm0v7z
Impecca,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",IWA10-KS30,IWA10-KS30,10000.0,830.0,12.0,No,No,https://impecca.box.com/s/sa1a3vgol00nnstp2zj4v5gs9rd73fv5
Impecca,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",IWA15-KS30,IWA15-KS30,15100.0,1280.0,11.8,No,No,https://impecca.box.com/s/rlvs8mia6r42dlpp0eoxkz0e7din2iog
Impecca,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",IWA18-KS30,IWA18-KS30,18000.0,1510.0,11.8,No,No,https://impecca.box.com/s/fzy2rq0caft870vztht5wshcafdalbex
Impecca,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",IWA06-KR15,IWA06-KR15,6000.0,540.0,11.0,No,No,https://impecca.box.com
Impecca,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",IWA12-KR15,IWA12-KR15,12000.0,1070.0,10.9,No,No,https://impecca.box.com
Impecca,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",ITAC-10KSB21-2,ITAC-10KSB21-2,10500.0,950.0,10.6,No,No,https://impecca.box.com
Impecca,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",ITAC-12KSB21-2,ITAC-12KSB21-2,12000.0,1120.0,10.5,No,No,https://impecca.box.com
Toscana,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",57H-ID0-112CRN8BCK4N,57H-ID0-112CRN8BCK4N,12000.0,1030.0,11.4,No,No,https://icuracao.com/[toscana-window-air-contioner-cooling-only-wifi-included.html]
MAGNAVOX,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",WW-12ESNMAG,WW-12ESNMAG,12000.0,1030.0,11.4,No,No,https://www.magnavox.com/en/17-air-conditioners
MAGNAVOX,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",W-08CR3,W-08CR3,8000.0,710.0,10.9,No,No,https://www.magnavox.com/en/17-air-conditioners
Ocean Breeze,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",OBZ-12WESN,OBZ-12WESN,12000.0,1000.0,12.0,No,No,http://jcwarranty.com/energy.html
Ocean Breeze,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",OBZ-12ESN3,OBZ-12ESN3,12000.0,1000.0,12.0,No,No,http://jcwarranty.com/energy.html
Ocean Breeze,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",OBZ-08ESN3,OBZ-08ESN3,8000.0,650.0,12.0,No,No,http://jcwarranty.com/energy.html
Ocean Breeze,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",OBZ-08CR3,OBZ-08CR3,8000.0,710.0,10.9,No,No,http://jcwarranty.com/energy.html
Ocean Breeze,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",OBZ-05CMN3,OBZ-05CMN3,5000.0,450.0,11.0,No,No,http://jcwarranty.com/energy.html
Sarasota breeze,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",SBZ-5CM2,SBZ-5CM2,5000.0,450.0,11.0,No,No,http://jcwarranty.com/energy.html
Sarasota breeze,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",SB-06E,SB-06E,6000.0,540.0,11.0,No,No,http://jcwarranty.com/energy.html
Sea Breeze+,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",WAU38YREX,WAU38YREX,8000.0,690.0,15.0,No,No,https://irpsales.com/?page_id=4651
Sea Breeze+,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",WAU310YREX,WAU310YREX,12000.0,1120.0,15.0,No,No,https://irpsales.com/?page_id=4651
Sea Breeze,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",WA36YREX,WA36YREX,6000.0,490.0,12.1,No,No,https://irpsales.com/?page_id=4651
Sea Breeze,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",WA38YREX,WA38YREX,8000.0,650.0,12.0,No,No,https://irpsales.com/?page_id=4651
Sea Breeze,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",WA312YREX,WA312YREX,12000.0,990.0,12.0,No,No,https://irpsales.com/?page_id=4651
Sea Breeze,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",WA315YREX,WA315YREX,15100.0,1280.0,11.8,No,No,https://irpsales.com/?page_id=4651
Sea Breeze,"(5b) Without reverse cycle, with louvered sides, and 28,000 Btu/h or more",WA328ZREX,WA328ZREX,28000.0,2970.0,9.4,No,No,https://irpsales.com/?page_id=4651
Sea Breeze,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",WH412ZRB,WH412ZRB,12000.0,1100.0,10.9,No,No,https://irpsales.com/?page_id=4651
Sea Breeze,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",WH425ZRC,WH425ZRC,25000.0,2660.0,9.4,No,No,https://irpsales.com/?page_id=4651
Sea Breeze,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",STW48AYRE,STW48AYRE,8000.0,750.0,10.6,No,No,https://irpsales.com/?page_id=4651
Sea Breeze,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",STW410AZEB,STW410AZEB,10000.0,940.0,10.6,No,No,https://irpsales.com/?page_id=4651
Breeze33,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",BZ336WAC1,BZ336WAC1,6000.0,490.0,12.1,No,No,https://breeze33.com/air-conditioners/
Breeze33,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",BZ3315WAC1,BZ3315WAC1,15100.0,1280.0,11.8,No,No,https://breeze33.com/air-conditioners/
Breeze33,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",BZ3325WAC2-G2,BZ3325WAC2-G2,25000.0,2410.0,10.3,No,No,https://breeze33.com/air-conditioners/
Breeze33,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",BZ3310TWAC1,BZ3310TWAC1,10000.0,940.0,10.6,No,No,https://breeze33.com/air-conditioners/
Breeze33,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",BZ3310TWAC2,BZ3310TWAC2,10000.0,940.0,10.6,No,No,https://breeze33.com/air-conditioners/
Breeze33,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",BZ338TWHC1,BZ338TWHC1,8000.0,830.0,9.6,No,No,https://breeze33.com/air-conditioners/
Breeze33,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",BZ3312TWHC2,BZ3312TWHC2,12000.0,1260.0,9.5,No,No,https://breeze33.com/air-conditioners/
Breeze33,"(9) Without reverse cycle, without louvered sides, and 14,000 to 19,999 Btu/h",BZ3314TWAC2,BZ3314TWAC2,14000.0,1500.0,9.3,No,No,https://breeze33.com/air-conditioners/
Genuine Comfort,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",GCTTW-10CRA1,GCTTW-10CRA1,10000.0,940.0,10.6,No,No,https://genuinecomfort.com/resources/
Genuine Comfort,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",GCTTW-12ERA2,GCTTW-12ERA2,12000.0,1260.0,9.5,No,No,https://genuinecomfort.com/resources/
Genuine Comfort,(16) Casement-Slider,GCCASE-10CRN1-BCJ4,GCCASE-10CRN1-BCJ4,10000.0,960.0,10.4,No,No,https://genuinecomfort.com/resources/
Genuine Comfort,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",GCWNDW-10CRN8-BCL0,GCWNDW-10CRN8-BCL0,10000.0,830.0,12.0,No,No,https://genuinecomfort.com/resources/
Perfect aire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",4PNC12000,4PNC12000,12000.0,1070.0,10.9,No,No,https://perfectaire.us/resource_category/specs/
Perfect aire,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",4PNC6000,4PNC6000,6000.0,540.0,11.0,No,No,https://perfectaire.us/resource_category/specs/
Perfect aire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",5PAC8000,5PAC8000,8000.0,650.0,12.0,No,No,https://perfectaire.us/resource_category/specs/
Perfect aire,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",5PAC15000,5PAC15000,15100.0,1280.0,11.8,No,No,https://perfectaire.us/resource_category/specs/
Perfect aire,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",5PAC18000,5PAC18000,18000.0,1510.0,11.8,No,No,https://perfectaire.us/resource_category/specs/
Perfect aire,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",5PAC25000,5PAC25000,25000.0,2410.0,10.3,No,No,https://perfectaire.us/resource_category/specs/
Perfect aire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",3PACH12000,3PACH12000,12000.0,1100.0,10.9,No,No,https://perfectaire.us/resource_category/specs/
Perfect aire,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",3PACH18000,3PACH18000,18500.0,1720.0,10.7,No,No,https://perfectaire.us/resource_category/specs/
Perfect aire,"(9) Without reverse cycle, without louvered sides, and 14,000 to 19,999 Btu/h",3PATW14002,3PATW14002,14000.0,1500.0,9.3,No,No,https://perfectaire.us/resource_category/specs/
Perfect aire,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",3PATWH10002,3PATWH10002,10000.0,1040.0,9.6,No,No,https://perfectaire.us/resource_category/specs/
Perfect aire,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",3PATWH12002,3PATWH12002,12000.0,1260.0,9.5,No,No,https://perfectaire.us/resource_category/specs/
Perfect aire,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",4PATW10002,4PATW10002,10000.0,940.0,10.6,No,No,https://perfectaire.us/resource_category/specs/
Perfect aire,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",4PATW12000,4PATW12000,12000.0,1140.0,10.5,No,No,https://perfectaire.us/resource_category/specs/
Perfect aire,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",4PATW8000,4PATW8000,8000.0,750.0,10.6,No,No,https://perfectaire.us/resource_category/specs/
Perfect Aire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1PAWFC10000,1PAWFC10000,10000.0,860.0,11.4,No,No,https://perfectaire.us/resource_category/specs/
Perfect Aire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1PAWFC12000,1PAWFC12000,12000.0,1030.0,11.4,No,No,https://perfectaire.us/resource_category/specs/
Perfect Aire,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",1PAWFC14500,1PAWFC14500,14500.0,1260.0,11.3,No,No,https://perfectaire.us/resource_category/specs/
Perfect Aire,"(11) With reverse cycle, with louvered sides, and less than 20,000 Btu/h",1PAHP8000,1PAHP8000,8000.0,810.0,9.8,No,No,https://perfectaire.us/resource_category/specs/
Global Industrial,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",293079,293079,18500.0,1720.0,10.7,No,No,https://perfectaire.us/resource_category/specs/
Global Industrial,(16) Casement-Slider,293081,293081,8000.0,730.0,10.8,No,No,https://perfectaire.us/resource_category/specs/
Perfect Aire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1PACU10000,1PACU10000,10000.0,870.0,15.0,No,No,https://perfectaire.us/resource_category/specs/
Perfect Aire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1PACU12000,1PACU12000,12000.0,1120.0,15.0,No,No,https://perfectaire.us/resource_category/specs/
Perfect Aire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1PACV12000,1PACV12000,12000.0,1120.0,15.0,No,No,https://perfectaire.us/resource_category/specs/
Perfect Aire,"(11) With reverse cycle, with louvered sides, and less than 20,000 Btu/h",1PACVP8000,1PACVP8000,8000.0,700.0,14.5,No,No,https://perfectaire.us/resource_category/specs/
BLACK+DECKER,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",BD05MWT6,BD05MWT6,5000.0,450.0,11.0,No,No,https://images.squarespace-cdn.com/content/59ce77904c326de45b423ff2/1611936909591-MKTW0GJBE80DZ8GF2MXL/BD05MWT6.jpg?format=750w&content-type=image%2Fjpeg
BLACK+DECKER,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",BD06WT6,BD06WT6,6000.0,490.0,12.1,No,No,https://images.squarespace-cdn.com/content/59ce77904c326de45b423ff2/1611936727418-MQC428HGCFQ9VXZT1CVC/BD06WT6.jpg?format=750w&content-type=image%2Fjpeg
BLACK+DECKER,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",BD10WT6,BD10WT6,10000.0,810.0,12.0,No,No,By annual report date
BLACK+DECKER,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",BD145WT6,BD145WT6,14500.0,1260.0,11.3,No,No,https://images.squarespace-cdn.com/content/59ce77904c326de45b423ff2/1611936753833-WZHSMVV4YJH694GN5BLP/BD145WT6.jpg?format=750w&content-type=image%2Fjpeg
Commercial cool,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",CC08WT,CC08WT,8000.0,650.0,12.0,No,No,https://images.squarespace-cdn.com/content/59ce77904c326de45b423ff2/1611936941179-H6TCO1MB6YRHV3L2OS24/CC08WT.jpg?format=750w&content-type=image%2Fjpeg
Commercial cool,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",CC10WT,CC10WT,10000.0,810.0,12.0,No,No,https://images.squarespace-cdn.com/content/59ce77904c326de45b423ff2/1611936941601-1NM2XG1LS6EKCYEYX6ND/CC10WT.jpg?format=750w&content-type=image%2Fjpeg
Commercial cool,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",CC12WT,CC12WT,12000.0,990.0,12.0,No,No,https://images.squarespace-cdn.com/content/59ce77904c326de45b423ff2/1611936942183-SFOWI3LZIDBWQ6VWTIL5/CC12WT.jpg?format=750w&content-type=image%2Fjpeg
Keystone,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",KSTAW05BE,KSTAW05BE,5000.0,450.0,11.0,No,No,https://access.almo.com/Product/KEYSTN/KSTAW05BE
Keystone,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",KSTAW05CE,KSTAW05CE,5000.0,410.0,12.1,No,No,https://access.almo.com/Product/KEYSTN/KSTAW05CE
Keystone,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",KSTAW06BE,KSTAW06BE,6000.0,540.0,11.0,No,No,https://access.almo.com/Product/KEYSTN/KSTAW06BE
Keystone,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",KSTAW06CE,KSTAW06CE,6000.0,490.0,12.1,No,No,https://access.almo.com/Product/KEYSTN/KSTAW06CE
Keystone,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",KSTAW08CE,KSTAW08CE,8000.0,650.0,12.0,No,No,https://access.almo.com/Product/KEYSTN/KSTAW08CE
Keystone,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",KSTAW10BE,KSTAW10BE,10000.0,880.0,10.9,No,No,https://access.almo.com/Product/KEYSTN/KSTAW10BE
Keystone,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",KSTAW12CE,KSTAW12CE,12000.0,990.0,12.0,No,No,https://access.almo.com/Product/KEYSTN/KSTAW12CE
Keystone,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",KSTAW14CE,KSTAW14CE,14500.0,1260.0,11.3,No,No,https://access.almo.com/Product/KEYSTN/KSTAW14CE
Keystone,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",KSTAW18C,KSTAW18C,18000.0,1510.0,11.8,No,No,https://access.almo.com/Product/KEYSTN/KSTAW18C
Keystone,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",KSTAW25C,KSTAW25C,25000.0,2410.0,10.3,No,No,https://access.almo.com/Product/KEYSTN/KSTAW25C
Keystone,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",KSTHW08A,KSTHW08A,8000.0,730.0,10.9,No,No,https://access.almo.com/Product/KEYSTN/KSTHW08A
Keystone,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",KSTHW25A,KSTHW25A,25000.0,2640.0,9.4,No,No,https://access.almo.com/Product/KEYSTN/KSTHW25A
Keystone,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",KSTHW08B,KSTHW08B,8000.0,730.0,10.9,No,No,https://access.almo.com/Product/KEYSTN/KSTHW08B
Keystone,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",KSTHW25B,KSTHW25B,23200.0,2370.0,9.4,No,No,https://access.almo.com/Product/KEYSTN/KSTHW25B
Keystone,(16) Casement-Slider,KSTSW08A,KSTSW08A,8000.0,730.0,10.8,No,No,https://access.almo.com/Product/KEYSTN/KSTSW08A
Keystone,(16) Casement-Slider,KSTSW08B,KSTSW08B,8000.0,710.0,10.8,No,No,https://access.almo.com/Product/KEYSTN/KSTSW08B
Keystone,(16) Casement-Slider,KSTSW10B,KSTSW10B,10000.0,920.0,10.4,No,No,https://access.almo.com/Product/KEYSTN/KSTSW10B
Keystone,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",FHCW061ABE,FHCW061ABE,6000.0,490.0,12.1,No,No,https://access.almo.com/Product/FREO/FHCW061ABE
Keystone,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",FHCW101ABE,FHCW101ABE,10000.0,810.0,12.0,No,No,https://access.almo.com/Product/FREO/FHCW101ABE
Keystone,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",FHCW121ABE,FHCW121ABE,12000.0,990.0,12.0,No,No,https://access.almo.com/Product/FREO/FHCW121ABE
Keystone,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",KSTAT08-1HC,KSTAT08-1HC,8000.0,830.0,9.6,No,No,https://access.almo.com/Product/KEYSTN/KSTAT08-1HC
Keystone,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",KSTAT10-1C,KSTAT10-1C,10000.0,940.0,10.6,No,No,https://access.almo.com/Product/KEYSTN/KSTAT10-1C
Keystone,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",KSTAT10-2HC,KSTAT10-2HC,10000.0,1040.0,9.6,No,No,https://access.almo.com/Product/KEYSTN/KSTAT10-2HC
Keystone,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",KSTAT12-1C,KSTAT12-1C,12000.0,1140.0,10.5,No,No,https://access.almo.com/Product/KEYSTN/KSTAT12-1C
Keystone,"(9) Without reverse cycle, without louvered sides, and 14,000 to 19,999 Btu/h",KSTAT14-2C,KSTAT14-2C,14000.0,1500.0,9.3,No,No,https://access.almo.com/Product/KEYSTN/KSTAT14-2C
Keystone,"(9) Without reverse cycle, without louvered sides, and 14,000 to 19,999 Btu/h",KSTAT14-2HC,KSTAT14-2HC,14000.0,1500.0,9.3,No,No,https://access.almo.com/Product/KEYSTN/KSTAT12-2HC
Keystone,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",KSTAT10-1D,KSTAT10-1D,10000.0,920.0,10.6,No,No,https://access.almo.com/Product/KEYSTN/KSTAT08-1HD
Keystone,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",KSTAT12-1D,KSTAT12-1D,12000.0,1110.0,10.5,No,No,https://access.almo.com/Product/KEYSTN/KSTAT10-2D
Keystone,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",KSTAT12-2D,KSTAT12-2D,12000.0,1120.0,10.5,No,No,https://access.almo.com/Product/KEYSTN/KSTAT10-2HD
Keystone,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",KSTAT08-1HD,KSTAT08-1HD,8000.0,750.0,9.6,No,No,https://access.almo.com/Product/KEYSTN/KSTAT12-2D
