Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Water_Consumption__Gallons_Cycle__d,Capacity__Number_of_Place_Settings__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s
Whirlpool,Standard size dishwasher,WDF330PAH**-10,WDF330PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
KitchenAid,Standard size dishwasher,KDTM804E***-05,KDTM404E***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Whirlpool,Standard size dishwasher,WDF330PAH**-10,WDF331PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
KitchenAid,Standard size dishwasher,KDTM804E***-05,KDTM504E***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDTM804E***-05,KDTM704E***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Whirlpool,Standard size dishwasher,WDF330PAH**-11,WDF330PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
KitchenAid,Standard size dishwasher,KDTM804E***-05,KDTM804E***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Whirlpool,Standard size dishwasher,WDF330PAH**-11,WDF331PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
KitchenAid,Standard size dishwasher,KDTM804K***,KDPM804K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDTM804K***,KDTM804K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDTM804K***-01,KDTM604K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
KitchenAid,Standard size dishwasher,KDTM804K***-01,KDPM704K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
Whirlpool,Standard size dishwasher,WDF341PAP**,WDF341PAP**,240.0,3.2,12.0,No,No,https://www.whirlpool.com/services/manuals.html
KitchenAid,Standard size dishwasher,KDTM804K***-01,KDPM804K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
Whirlpool,Standard size dishwasher,WDF520PAD**-07,WDF520PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/services/manuals.html
KitchenAid,Standard size dishwasher,KDTM804K***-01,KDTM704LPA*,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
