ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Height (inches),Width (inches),Depth (inches),Weight (lbs),Cooling Capacity (Btu/hr),Voltage (volts),Type,Installation Mounting Type,Support Bracket,Heating Mode,Casement Window,Product Class,Variable Speed Compressor,Low Noise,Refrigerant Type,Refrigerant with GWP,Combined Energy Efficiency Ratio (CEER),Percent Less Energy Use than US Federal Standard,Annual Energy Use (kWh/yr),Connected Capable,Connects Using,Communication Hardware Architecture,DR Protocol,Primary Communication Module/Device Brand Name and Model Number,Network Security Standards,Network Standby Power (watts),Is Broadband Internet Connection Needed for Demand Response?,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria
2350736,Breeze33,BZ3325WAC2,,,,,,,25000,,Window,,,No,None,"5a. Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",,No,,,10.3,10,1820,No,,,,,,,,,05/09/2019,05/13/2019,"United States, Canada",ES_1143317_BZ3325WAC2_12042019052744_7264021,No
2389121,Breeze33,BZ3325WAC2-G2,,810055926541,,,,,25000,,Window,,,No,None,"5a. Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",No,No,,,10.3,10,1820,No,,,,,,,,,12/06/2021,12/06/2021,"United States, Canada",ES_1143317_BZ3325WAC2-G2_12102021073521_80104134,No
2338139,Breeze33,BZ336WAC1,,,,,,,6000,,Window,,,No,None,"2. Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",No,No,,,12.1,10,372,No,,,,,,,,,05/01/2019,03/07/2019,United States,ES_1143317_BZ336WAC1_05052019113843_80001661,No
2350737,Breeze33,BZ338TWAC1,,,,,,,8300,,Through the Wall,,,No,None,"8a. Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",,No,,,10.6,10,587,No,,,,,,,,,05/09/2019,05/13/2019,"United States, Canada",ES_1143317_BZ338TWAC1_12042019054304_8184452,No
2376287,CLASSIC AMERICA,TWC-08CRD1/L0U-CA,,,,,,,8000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12,10,500,No,,,,,,,,,04/10/2021,04/22/2021,"United States, Canada",ES_1146176_TWC-08CRD1/L0U-CA_041320212057857_3747761,No
2406722,CLASSIC AMERICA,TWC-08CRD1/L0U-CA,,856739008066,,,,,8000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,R-32,R-32 (GWP:675 | Lower GWP),11.4,5,526,Yes,Wi-Fi,A - Built-in,Smart Energy Profile (SEP) 2.x,,,,,Yes,12/30/2022,01/12/2023,"United States, Canada",ES_1146176_TWC-08CRD1/L0U-CA_01072023091832_7593652,No
2376288,CLASSIC AMERICA,TWC-12CRD1/L0U-CA,,,,,,,12000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12,10,750,No,,,,,,,,,04/10/2021,04/22/2021,"United States, Canada",ES_1146176_TWC-12CRD1/L0U-CA_041320212100697_1970896,No
2373598,Coast air,CB081A,,,,,,,8000,,Through the Wall,,,No,None,"8a. Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",,No,,,10.6,10,566,No,,,,,,,,,02/04/2021,02/05/2021,"United States, Canada",ES_17771_CB081A_020420210015216_9084010,No
2373599,Coast air,CB101A,,,,,,,10000,,Through the Wall,,,No,None,"8a. Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",,No,,,10.6,10,708,No,,,,,,,,,02/04/2021,02/05/2021,"United States, Canada",ES_17771_CB101A_020420210020661_4360581,No
2373600,Coast air,CB103A,,,,,,,10000,,Through the Wall,,,No,None,"8a. Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",,No,,,10.6,10,708,No,,,,,,,,,02/04/2021,02/05/2021,"United States, Canada",ES_17771_CB103A_020420210018956_6936277,No
2373601,Coast air,CB121A,,,,,,,12000,,Through the Wall,,,No,None,"8b. Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",,No,,,10.5,11,857,No,,,,,,,,,02/04/2021,02/05/2021,"United States, Canada",ES_17771_CB121A_02042021002368_8807408,No
2373602,Coast air,CB123A,,,,,,,12000,,Through the Wall,,,No,None,"8b. Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",,No,,,10.5,11,857,No,,,,,,,,,02/04/2021,02/05/2021,"United States, Canada",ES_17771_CB123A_020420210021845_5163848,No
2334314,Coast air,CEW061BS,,,,,,,6000,,Window,,,No,None,"2. Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",No,No,,,12.1,10,372,No,,,,,,,,,03/01/2019,03/07/2019,"United States, Canada",ES_0017771_CEW061BS_02282019105905_70217291,No
2371742,Coast air,CEW061CS,,,,,,,6000,,Window,,,No,None,"2. Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",,No,,,12.1,10,372,No,,,,,,,,,01/06/2021,01/07/2021,"United States, Canada",ES_17771_CEW061CS_010720210153985_7160095,No
2334315,Coast air,CEW081BS,,,,,,,8000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12,10,500,No,,,,,,,,,03/01/2019,03/07/2019,"United States, Canada",ES_0017771_CEW081BS_02282019105905_70217291,No
2371743,Coast air,CEW081CS,,,,,,,8000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,No,,,12,10,500,No,,,,,,,,,01/06/2021,01/07/2021,"United States, Canada",ES_17771_CEW081CS_010720210153999_1702449,No
2334316,Coast air,CEW101BS,,,,,,,10000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12,10,625,No,,,,,,,,,03/01/2019,03/07/2019,"United States, Canada",ES_0017771_CEW101BS_02282019105905_70217291,No
2389297,Coast air,CEW101CS,,0847283031839,,,,,10000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12,10,625,No,,,,,,,,,11/13/2021,12/10/2021,"United States, Canada",ES_1138537_CEW101CS_12142021120410_80107683,No
2334317,Coast air,CEW121BS,,,,,,,12000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12,10,750,No,,,,,,,,,03/01/2019,03/07/2019,"United States, Canada",ES_0017771_CEW121BS_02282019105905_70217291,No
2389298,Coast air,CEW121CS,,0847283031846,,,,,12000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12,10,750,No,,,,,,,,,11/13/2021,12/10/2021,"United States, Canada",ES_1138537_CEW121CS_12142021120410_80107683,No
2408952,Coast air,CEW141DS,,0847283035455,,,,,14000,,Window,,,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",No,No,R-32,R-32 (GWP:675 | Lower GWP),11.3,6,929,Yes,Wi-Fi,A - Built-in,Smart Energy Profile (SEP) 2.x,,,,,Yes,02/21/2023,02/24/2023,"United States, Canada",ES_17771_CEW141DS_02222023181846_9132043,No
2334318,Coast air,CEW151BS,,,,,,,15100,,Window,,,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",No,No,,,11.8,10,960,No,,,,,,,,,03/01/2019,03/07/2019,"United States, Canada",ES_0017771_CEW151BS_02282019105905_70217291,No
